,NEOUSDT,AKROUSDT,Spread,Z-Score
178,8.39,0.003584,-0.13640768,-2.429475214
179,8.41,0.003595,-0.1425769,-2.294120524
180,8.4,0.003572,-0.09785944,-1.599772929
181,8.39,0.003612,-0.20302024,-2.746364261
182,8.35,0.003589,-0.18830278,-2.315369238
183,8.28,0.00355,-0.165521,-1.911731186
184,8.37,0.00356,-0.0993112,-1.138547893
185,8.33,0.003552,-0.12027904,-1.29873019
186,8.31,0.003522,-0.06890844,-0.73770572
187,8.33,0.0035,0.00343,0.015772026
188,8.28,0.003485,-0.0108847,-0.122698427
189,8.31,0.003481,0.02863138,0.295799321
190,8.35,0.003472,0.09004256,0.967394591
191,8.35,0.003473,0.08766354,0.939777092
192,8.41,0.00348,0.1310104,1.413427244
193,8.32,0.003465,0.0766957,0.842623686
194,8.41,0.003481,0.12863138,1.381935329
195,8.28,0.00349,-0.0227798,-0.209138851
196,8.16,0.003441,-0.02620782,-0.227232847
197,8.21,0.003452,-0.00237704,0.065033413
198,8.16,0.00345,-0.047619,-0.3997455
199,8.2,0.003463,-0.03854626,-0.266131565
