,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
78,ACHUSDT,EGLDUSDT,0.01,-3.88,-3.37,0.0,6
401,OPUSDT,ASTRUSDT,0.0,-4.44,-3.37,27.79,6
493,REQUSDT,CHRUSDT,0.0,-4.31,-3.37,0.73,6
719,USDCUSDT,BANDUSDT,0.0,-5.98,-3.37,0.87,6
284,BALUSDT,ALGOUSDT,0.02,-3.75,-3.37,19.7,6
467,REQUSDT,APTUSDT,0.0,-4.9,-3.37,0.01,5
866,XMRUSDT,COMPUSDT,0.02,-3.61,-3.37,2.91,5
703,USDCUSDT,ALGOUSDT,0.0,-5.99,-3.37,2.91,5
100,ACHUSDT,RSS3USDT,0.01,-3.85,-3.37,0.09,5
502,REQUSDT,CTKUSDT,0.0,-4.61,-3.37,0.13,5
141,ANTUSDT,MATICUSDT,0.04,-3.42,-3.37,1.96,5
15,10000NFTUSDT,LINKUSDT,0.04,-3.4,-3.37,0.0,5
138,ANTUSDT,KAVAUSDT,0.01,-3.96,-3.37,1.2,5
535,REQUSDT,GTCUSDT,0.0,-4.39,-3.37,0.06,5
136,ANTUSDT,ENSUSDT,0.02,-3.76,-3.37,0.1,5
856,XMRUSDT,ASTRUSDT,0.02,-3.6,-3.37,3883.32,5
553,REQUSDT,LDOUSDT,0.0,-4.62,-3.37,0.07,5
90,ACHUSDT,LINKUSDT,0.02,-3.65,-3.37,0.0,5
139,ANTUSDT,LDOUSDT,0.03,-3.57,-3.37,1.11,5
732,USDCUSDT,C98USDT,0.0,-6.5,-3.37,3.11,4
773,USDCUSDT,GALAUSDT,0.0,-5.84,-3.37,26.02,4
345,GLMRUSDT,ALGOUSDT,0.04,-3.39,-3.37,1.39,4
488,REQUSDT,C98USDT,0.0,-4.49,-3.37,0.34,4
613,SCRTUSDT,TRBUSDT,0.02,-3.75,-3.37,0.06,4
717,USDCUSDT,BAKEUSDT,0.0,-5.84,-3.37,4.1,4
816,USDCUSDT,OGNUSDT,0.0,-6.59,-3.37,7.33,4
791,USDCUSDT,JASMYUSDT,0.0,-5.83,-3.37,197.56,3
798,USDCUSDT,LDOUSDT,0.0,-6.13,-3.37,0.62,3
730,USDCUSDT,BSWUSDT,0.0,-5.94,-3.37,4.06,3
850,XMRUSDT,1000LUNCUSDT,0.04,-3.41,-3.37,614.16,3
867,XMRUSDT,CREAMUSDT,0.02,-3.62,-3.37,12.29,3
134,ANTUSDT,CVXUSDT,0.03,-3.58,-3.37,0.32,3
99,ACHUSDT,RNDRUSDT,0.02,-3.65,-3.37,0.02,3
529,REQUSDT,GALAUSDT,0.0,-4.63,-3.37,2.85,3
634,STMXUSDT,BAKEUSDT,0.04,-3.41,-3.37,0.03,3
565,REQUSDT,MINAUSDT,0.0,-4.37,-3.37,0.17,3
101,ACHUSDT,SANDUSDT,0.03,-3.51,-3.37,0.01,3
486,REQUSDT,BSWUSDT,0.0,-4.54,-3.37,0.45,3
602,SCRTUSDT,BSWUSDT,0.03,-3.48,-3.37,3.73,3
68,ACHUSDT,BNBUSDT,0.01,-3.79,-3.37,0.0,3
259,APEUSDT,LPTUSDT,0.0,-14.19,-3.37,1.3,2
268,APEUSDT,MTLUSDT,0.0,-14.12,-3.37,12.13,2
256,APEUSDT,LINKUSDT,0.0,-14.23,-3.37,1.59,2
772,USDCUSDT,FXSUSDT,0.0,-5.87,-3.37,0.15,2
263,APEUSDT,MANAUSDT,0.0,-14.15,-3.37,18.63,2
273,APEUSDT,OMGUSDT,0.0,-14.13,-3.37,7.46,2
267,APEUSDT,MKRUSDT,0.0,-14.13,-3.37,0.01,2
269,APEUSDT,NEARUSDT,0.0,-14.13,-3.37,4.0,2
255,APEUSDT,LINAUSDT,0.0,-14.13,-3.37,1508.19,2
794,USDCUSDT,KDAUSDT,0.0,-5.81,-3.37,0.0,2
771,USDCUSDT,FTTUSDT,0.0,-5.85,-3.37,0.04,2
253,APEUSDT,KSMUSDT,0.0,-14.13,-3.37,0.35,2
270,APEUSDT,NEOUSDT,0.0,-14.12,-3.37,1.43,2
271,APEUSDT,OCEANUSDT,0.0,-14.18,-3.37,72.19,2
251,APEUSDT,KLAYUSDT,0.0,-14.15,-3.37,50.0,2
254,APEUSDT,LDOUSDT,0.0,-14.16,-3.37,7.76,2
301,BTCUSDT,ALGOUSDT,0.0,-5.28,-3.37,60070.24,2
257,APEUSDT,LITUSDT,0.0,-14.16,-3.37,13.65,2
800,USDCUSDT,LINKUSDT,0.0,-5.89,-3.37,0.13,2
272,APEUSDT,OGNUSDT,0.0,-14.07,-3.37,92.79,2
252,APEUSDT,KNCUSDT,0.0,-14.13,-3.37,13.55,2
258,APEUSDT,LOOKSUSDT,0.0,-14.13,-3.37,55.48,2
260,APEUSDT,LRCUSDT,0.0,-14.12,-3.37,45.63,2
178,APEUSDT,BELUSDT,0.0,-14.18,-3.37,21.66,2
150,APEUSDT,10000NFTUSDT,0.0,-14.12,-3.37,1942.13,2
363,KDAUSDT,ACHUSDT,0.0,-8.63,-3.37,1624.41,2
370,KDAUSDT,ANKRUSDT,0.0,-8.55,-3.37,639.75,2
216,APEUSDT,ENJUSDT,0.0,-14.13,-3.37,27.26,2
369,KDAUSDT,ALPHAUSDT,0.0,-8.52,-3.37,158.6,2
215,APEUSDT,EGLDUSDT,0.0,-14.25,-3.37,0.21,2
214,APEUSDT,DYDXUSDT,0.0,-14.15,-3.37,7.5,2
368,KDAUSDT,ALICEUSDT,0.0,-8.54,-3.37,11.11,2
367,KDAUSDT,ALGOUSDT,0.0,-8.59,-3.37,52.65,2
366,KDAUSDT,AKROUSDT,0.0,-8.53,-3.37,5185.97,2
213,APEUSDT,DUSKUSDT,0.0,-14.16,-3.37,94.46,2
365,KDAUSDT,AGLDUSDT,0.0,-8.6,-3.37,54.72,2
364,KDAUSDT,ADAUSDT,0.0,-8.54,-3.37,45.64,2
212,APEUSDT,DOTUSDT,0.0,-14.26,-3.37,1.85,2
211,APEUSDT,DOGEUSDT,0.0,-14.19,-3.37,95.03,2
210,APEUSDT,DODOUSDT,0.0,-14.13,-3.37,92.08,2
209,APEUSDT,DGBUSDT,0.0,-14.14,-3.37,1359.77,2
200,APEUSDT,CRVUSDT,0.0,-14.12,-3.37,13.44,2
208,APEUSDT,DENTUSDT,0.0,-14.13,-3.37,14039.82,2
362,KDAUSDT,AAVEUSDT,0.0,-8.51,-3.37,0.22,2
207,APEUSDT,DASHUSDT,0.0,-14.11,-3.37,0.29,2
361,KDAUSDT,1INCHUSDT,0.0,-8.52,-3.37,30.41,2
206,APEUSDT,DARUSDT,0.0,-14.13,-3.37,60.34,2
360,KDAUSDT,1000XECUSDT,0.0,-8.53,-3.37,490.55,2
151,APEUSDT,1000BTTUSDT,0.0,-14.13,-3.37,14947.52,2
205,APEUSDT,CVXUSDT,0.0,-14.19,-3.37,2.28,2
358,KDAUSDT,1000BTTUSDT,0.0,-8.54,-3.37,22770.95,2
204,APEUSDT,CVCUSDT,0.0,-14.14,-3.37,99.81,2
357,KDAUSDT,10000NFTUSDT,0.0,-8.59,-3.37,2966.83,2
203,APEUSDT,CTSIUSDT,0.0,-14.18,-3.37,88.16,2
550,REQUSDT,KDAUSDT,0.0,-4.69,-3.37,0.0,2
202,APEUSDT,CTKUSDT,0.0,-14.12,-3.37,14.85,2
217,APEUSDT,ENSUSDT,0.0,-14.13,-3.37,0.72,2
218,APEUSDT,EOSUSDT,0.0,-14.14,-3.37,10.76,2
465,REQUSDT,APEUSDT,0.0,-4.5,-3.37,0.0,2
219,APEUSDT,ETCUSDT,0.0,-14.14,-3.37,0.5,2
241,APEUSDT,ILVUSDT,0.0,-14.13,-3.37,0.19,2
240,APEUSDT,ICXUSDT,0.0,-14.13,-3.37,52.89,2
239,APEUSDT,ICPUSDT,0.0,-14.12,-3.37,2.36,2
238,APEUSDT,HOTUSDT,0.0,-14.14,-3.37,6016.89,2
242,APEUSDT,IMXUSDT,0.0,-14.14,-3.37,20.68,2
261,APEUSDT,LTCUSDT,0.0,-14.14,-3.37,0.22,2
237,APEUSDT,HNTUSDT,0.0,-14.14,-3.37,3.08,2
236,APEUSDT,HBARUSDT,0.0,-14.19,-3.37,202.42,2
235,APEUSDT,GTCUSDT,0.0,-14.2,-3.37,6.41,2
234,APEUSDT,GRTUSDT,0.0,-14.14,-3.37,147.27,2
233,APEUSDT,GMXUSDT,0.0,-14.15,-3.37,0.33,2
232,APEUSDT,GMTUSDT,0.0,-14.12,-3.37,24.0,2
231,APEUSDT,GLMRUSDT,0.0,-14.17,-3.37,25.52,2
230,APEUSDT,GALUSDT,0.0,-14.13,-3.37,5.73,2
229,APEUSDT,GALAUSDT,0.0,-14.19,-3.37,304.97,2
243,APEUSDT,INJUSDT,0.0,-14.17,-3.37,5.32,2
228,APEUSDT,FXSUSDT,0.0,-14.18,-3.37,1.85,2
244,APEUSDT,IOSTUSDT,0.0,-14.13,-3.37,1073.63,2
227,APEUSDT,FTTUSDT,0.0,-14.2,-3.37,0.48,2
245,APEUSDT,IOTAUSDT,0.0,-14.12,-3.37,47.63,2
226,APEUSDT,FTMUSDT,0.0,-14.17,-3.37,53.33,2
225,APEUSDT,FLOWUSDT,0.0,-14.13,-3.37,7.29,2
224,APEUSDT,FLMUSDT,0.0,-14.14,-3.37,107.76,2
223,APEUSDT,FITFIUSDT,0.0,-14.19,-3.37,231.78,2
222,APEUSDT,FILUSDT,0.0,-14.14,-3.37,2.27,2
221,APEUSDT,ETHWUSDT,0.0,-14.15,-3.37,1.89,2
371,KDAUSDT,ANTUSDT,0.0,-8.54,-3.37,10.26,2
220,APEUSDT,ETHUSDT,0.0,-13.95,-3.37,0.01,2
460,REQUSDT,ALGOUSDT,0.0,-4.68,-3.37,0.32,2
201,APEUSDT,CTCUSDT,0.0,-14.22,-3.37,22.55,2
359,KDAUSDT,1000LUNCUSDT,0.0,-8.56,-3.37,78.64,2
571,REQUSDT,OGNUSDT,0.0,-4.69,-3.37,0.8,2
172,APEUSDT,AXSUSDT,0.0,-14.12,-3.37,1.35,2
659,STMXUSDT,WAVESUSDT,0.02,-3.66,-3.37,0.0,2
167,APEUSDT,ARPAUSDT,0.0,-14.13,-3.37,354.56,2
168,APEUSDT,ARUSDT,0.0,-14.13,-3.37,1.17,2
169,APEUSDT,ASTRUSDT,0.0,-14.18,-3.37,315.1,2
170,APEUSDT,AUDIOUSDT,0.0,-14.2,-3.37,60.58,2
171,APEUSDT,AVAXUSDT,0.0,-14.21,-3.37,0.66,2
199,APEUSDT,CROUSDT,0.0,-14.11,-3.37,109.18,2
180,APEUSDT,BITUSDT,0.0,-14.29,-3.37,28.55,2
250,APEUSDT,KDAUSDT,0.0,-14.13,-3.37,0.0,2
173,APEUSDT,BAKEUSDT,0.0,-14.2,-3.37,49.31,2
174,APEUSDT,BALUSDT,0.0,-14.16,-3.37,1.83,2
175,APEUSDT,BANDUSDT,0.0,-14.2,-3.37,10.48,2
176,APEUSDT,BATUSDT,0.0,-14.18,-3.37,40.85,2
177,APEUSDT,BCHUSDT,0.0,-14.16,-3.37,0.11,2
166,APEUSDT,APTUSDT,0.0,-14.26,-3.37,1.58,2
165,APEUSDT,API3USDT,0.0,-14.14,-3.37,6.9,2
164,APEUSDT,ANTUSDT,0.0,-14.13,-3.37,6.8,2
163,APEUSDT,ANKRUSDT,0.0,-14.11,-3.37,419.07,2
162,APEUSDT,ALPHAUSDT,0.0,-14.2,-3.37,103.94,2
161,APEUSDT,ALICEUSDT,0.0,-14.15,-3.37,7.32,2
160,APEUSDT,ALGOUSDT,0.0,-14.22,-3.37,34.91,2
159,APEUSDT,AKROUSDT,0.0,-14.13,-3.37,3402.35,2
158,APEUSDT,AGLDUSDT,0.0,-14.22,-3.37,36.24,2
157,APEUSDT,ADAUSDT,0.0,-14.13,-3.37,30.0,2
156,APEUSDT,ACHUSDT,0.0,-14.14,-3.37,1039.47,2
155,APEUSDT,AAVEUSDT,0.0,-14.14,-3.37,0.15,2
708,USDCUSDT,APEUSDT,0.0,-5.85,-3.37,0.0,2
154,APEUSDT,1INCHUSDT,0.0,-14.13,-3.37,20.06,2
153,APEUSDT,1000XECUSDT,0.0,-14.11,-3.37,322.25,2
262,APEUSDT,LUNA2USDT,0.0,-14.1,-3.37,5.06,2
152,APEUSDT,1000LUNCUSDT,0.0,-14.13,-3.37,51.62,2
179,APEUSDT,BICOUSDT,0.0,-14.13,-3.37,30.11,2
265,APEUSDT,MATICUSDT,0.0,-14.12,-3.37,13.44,2
248,APEUSDT,JSTUSDT,0.0,-14.13,-3.37,418.79,2
189,APEUSDT,CEEKUSDT,0.0,-14.25,-3.37,85.3,2
197,APEUSDT,COTIUSDT,0.0,-14.16,-3.37,120.05,2
196,APEUSDT,COMPUSDT,0.0,-14.13,-3.37,0.24,2
195,APEUSDT,CKBUSDT,0.0,-14.18,-3.37,3584.38,2
198,APEUSDT,CREAMUSDT,0.0,-14.12,-3.37,1.03,2
194,APEUSDT,CHZUSDT,0.0,-14.17,-3.37,56.39,2
181,APEUSDT,BLZUSDT,0.0,-14.13,-3.37,156.35,2
249,APEUSDT,KAVAUSDT,0.0,-14.13,-3.37,8.29,2
193,APEUSDT,CHRUSDT,0.0,-14.13,-3.37,82.39,2
192,APEUSDT,CELUSDT,0.0,-14.13,-3.37,12.91,2
191,APEUSDT,CELRUSDT,0.0,-14.12,-3.37,804.92,2
190,APEUSDT,CELOUSDT,0.0,-14.12,-3.37,17.07,2
266,APEUSDT,MINAUSDT,0.0,-14.19,-3.37,17.71,2
247,APEUSDT,JASMYUSDT,0.0,-14.2,-3.37,2318.59,2
186,APEUSDT,BSWUSDT,0.0,-14.29,-3.37,51.85,2
183,APEUSDT,BNXUSDT,0.0,-14.13,-3.37,0.09,2
188,APEUSDT,C98USDT,0.0,-14.15,-3.37,37.59,2
182,APEUSDT,BNBUSDT,0.0,-14.23,-3.37,0.04,2
187,APEUSDT,BTCUSDT,0.0,-14.15,-3.37,0.0,2
246,APEUSDT,IOTXUSDT,0.0,-14.13,-3.37,429.82,2
609,SCRTUSDT,OGNUSDT,0.02,-3.6,-3.37,6.72,2
185,APEUSDT,BSVUSDT,0.0,-14.11,-3.37,0.26,2
184,APEUSDT,BOBAUSDT,0.0,-14.13,-3.37,41.75,2
410,OPUSDT,CTCUSDT,0.0,-4.12,-3.37,2.16,1
77,ACHUSDT,DOGEUSDT,0.02,-3.67,-3.37,0.11,1
738,USDCUSDT,CHZUSDT,0.0,-6.05,-3.37,4.75,1
810,USDCUSDT,MINAUSDT,0.0,-5.94,-3.37,1.51,1
745,USDCUSDT,CTCUSDT,0.0,-5.96,-3.37,2.05,1
126,ANTUSDT,APTUSDT,0.01,-3.94,-3.37,0.22,1
555,REQUSDT,LINKUSDT,0.0,-4.64,-3.37,0.01,1
547,REQUSDT,JASMYUSDT,0.0,-4.46,-3.37,21.68,1
4,10000NFTUSDT,CHZUSDT,0.02,-3.65,-3.37,0.03,1
713,USDCUSDT,ASTRUSDT,0.0,-6.48,-3.37,26.28,1
75,ACHUSDT,CTCUSDT,0.01,-3.77,-3.37,0.02,1
8,10000NFTUSDT,EGLDUSDT,0.01,-3.82,-3.37,0.0,1
2,10000NFTUSDT,ASTRUSDT,0.02,-3.73,-3.37,0.17,1
482,REQUSDT,BNBUSDT,0.0,-4.53,-3.37,0.0,1
412,OPUSDT,DOGEUSDT,0.01,-3.91,-3.37,9.4,1
869,XMRUSDT,CTCUSDT,0.0,-4.29,-3.37,303.26,1
868,XMRUSDT,CRVUSDT,0.01,-3.89,-3.37,160.89,1
83,ACHUSDT,GALAUSDT,0.02,-3.6,-3.37,0.31,1
755,USDCUSDT,DOGEUSDT,0.0,-5.85,-3.37,8.91,1
665,STORJUSDT,DOGEUSDT,0.01,-3.91,-3.37,3.92,1
664,STORJUSDT,CTCUSDT,0.01,-3.78,-3.37,0.9,1
1,10000NFTUSDT,ALGOUSDT,0.02,-3.73,-3.37,0.02,1
511,REQUSDT,DOGEUSDT,0.0,-4.44,-3.37,0.98,1
69,ACHUSDT,CHZUSDT,0.02,-3.71,-3.37,0.06,1
501,REQUSDT,CTCUSDT,0.0,-4.54,-3.37,0.22,1
132,ANTUSDT,CRVUSDT,0.04,-3.42,-3.37,1.96,1
494,REQUSDT,CHZUSDT,0.0,-4.73,-3.37,0.52,1
470,REQUSDT,ASTRUSDT,0.0,-4.42,-3.37,2.88,1
135,ANTUSDT,DOGEUSDT,0.03,-3.56,-3.37,16.1,1
133,ANTUSDT,CTCUSDT,0.02,-3.63,-3.37,3.69,1
